epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,1136.07,0.90217,0.56224,0.9906,0.84018,0.87446,0.89395,0.60429,1.12791,0.7681,1.13045,6.88328e-05,6.88328e-05,6.88328e-05
78,1146.67,0.87911,0.5503,0.98221,0.84534,0.87146,0.89518,0.60631,1.12604,0.75488,1.12733,6.60806e-05,6.60806e-05,6.60806e-05
79,1157.31,0.89133,0.56827,0.98969,0.83752,0.86588,0.88828,0.60196,1.12489,0.77338,1.12996,6.33284e-05,6.33284e-05,6.33284e-05
80,1167.04,0.91047,0.57105,0.98811,0.84042,0.85794,0.88334,0.5983,1.13344,0.78155,1.13007,6.05762e-05,6.05762e-05,6.05762e-05
81,1177.22,0.90544,0.57436,0.99185,0.84465,0.87633,0.89202,0.6058,1.1353,0.75542,1.13557,5.7824e-05,5.7824e-05,5.7824e-05
82,1188.02,0.88605,0.54646,0.98302,0.88576,0.89338,0.91714,0.6196,1.12392,0.70694,1.12908,5.50718e-05,5.50718e-05,5.50718e-05
83,1199.1,0.89013,0.54651,0.98408,0.83177,0.85021,0.88526,0.60561,1.11843,0.78672,1.12426,5.23196e-05,5.23196e-05,5.23196e-05
84,1208.3,0.89616,0.55175,0.98352,0.86659,0.87484,0.90258,0.61275,1.1206,0.73326,1.12776,4.95674e-05,4.95674e-05,4.95674e-05
85,1219.07,0.87955,0.54263,0.98285,0.85528,0.86691,0.8911,0.60824,1.11946,0.77351,1.12416,4.68152e-05,4.68152e-05,4.68152e-05
86,1230.13,0.93208,0.55654,0.99469,0.81686,0.83698,0.86656,0.59213,1.11425,0.84448,1.12326,4.4063e-05,4.4063e-05,4.4063e-05
87,1239.82,0.8849,0.54277,0.98686,0.82758,0.839,0.87233,0.59314,1.12285,0.82823,1.12722,4.13108e-05,4.13108e-05,4.13108e-05
88,1249.91,0.88537,0.53368,0.97822,0.85366,0.84774,0.88925,0.60468,1.11626,0.7766,1.12784,3.85586e-05,3.85586e-05,3.85586e-05
89,1260.92,0.88199,0.53492,0.98337,0.86234,0.87133,0.90006,0.61345,1.12218,0.74401,1.12747,3.58064e-05,3.58064e-05,3.58064e-05
90,1271.28,0.87109,0.5308,0.97421,0.84649,0.87855,0.89253,0.60729,1.12508,0.75942,1.12917,3.30542e-05,3.30542e-05,3.30542e-05
91,1282.75,0.85748,0.47918,0.98959,0.85934,0.8751,0.89896,0.60735,1.14263,0.74259,1.15367,3.0302e-05,3.0302e-05,3.0302e-05
92,1293.03,0.84385,0.4662,0.983,0.86424,0.87366,0.9033,0.61591,1.12561,0.73784,1.13484,2.75498e-05,2.75498e-05,2.75498e-05
93,1303.34,0.83944,0.4631,0.98356,0.86735,0.87236,0.90132,0.61418,1.1237,0.74209,1.1325,2.47976e-05,2.47976e-05,2.47976e-05
94,1312.18,0.83636,0.4617,0.98049,0.85155,0.87554,0.90011,0.61375,1.12325,0.74336,1.12969,2.20454e-05,2.20454e-05,2.20454e-05
95,1322.39,0.81895,0.44606,0.97354,0.85432,0.85919,0.89408,0.61229,1.11987,0.76716,1.12833,1.92932e-05,1.92932e-05,1.92932e-05
96,1332.62,0.81267,0.44817,0.97033,0.84517,0.8595,0.88969,0.60871,1.11055,0.77748,1.12612,1.6541e-05,1.6541e-05,1.6541e-05
97,1341.96,0.81673,0.44494,0.96709,0.85369,0.84707,0.89023,0.61007,1.11591,0.77425,1.12771,1.37888e-05,1.37888e-05,1.37888e-05
98,1351.48,0.81475,0.44495,0.97364,0.84872,0.85928,0.89222,0.61105,1.11858,0.76663,1.12816,1.10366e-05,1.10366e-05,1.10366e-05
99,1361.75,0.80585,0.43742,0.96444,0.84913,0.86416,0.89384,0.61297,1.1157,0.76043,1.12734,8.2844e-06,8.2844e-06,8.2844e-06
100,1371.04,0.80671,0.43881,0.96733,0.85149,0.86574,0.89453,0.61282,1.11523,0.76192,1.12811,5.5322e-06,5.5322e-06,5.5322e-06
